Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,0,Travel_Rarely,391.0,Research & Development,15,2,Life Sciences,3,1,96,3,1,Research Scientist,4,Single,2097.9,19281.0,1,0,14,3,4,0,1,5,3,1,0,0,0
34,1,Travel_Rarely,699.0,Research & Development,6,1,Medical,2,1,83,3,1,Research Scientist,1,Single,2960.0,17102.0,2,0,11,3,3,0,8,2,3,4,2,1,3
53,0,Travel_Rarely,1282.0,Research & Development,5,3,Other,3,0,58,3,5,Manager,3,Divorced,17821.349999999995,10735.0,4,0,11,3,4,1,26,3,2,14,11,4,8
32,1,Travel_Frequently,1125.0,Research & Development,16,1,Life Sciences,2,0,72,1,1,Research Scientist,1,Single,3919.0,4681.0,1,1,22,4,2,0,10,5,3,10,2,6,7
42,0,Travel_Rarely,691.0,Sales,8,4,Marketing,3,1,48,3,2,Sales Executive,2,Married,6825.0,21173.0,0,0,11,3,4,1,10,2,3,9,7,4,2
44,0,Travel_Rarely,477.0,Research & Development,7,4,Medical,1,0,42,2,3,Healthcare Representative,4,Married,10248.0,3384.55,3,0,14,3,4,1,24,4,3,20,6,5,10
46,0,Travel_Rarely,705.0,Sales,2,4,Marketing,2,0,83,3,5,Manager,1,Single,17821.349999999995,22822.0,3,0,12,3,4,0,22,2,2,2,2,2,1
33,0,Travel_Rarely,924.0,Research & Development,2,3,Medical,3,1,78,3,1,Laboratory Technician,4,Single,2496.0,6670.0,4,0,11,3,4,0,7,3,3,1,1,0,0
44,0,Travel_Rarely,1424.1,Research & Development,10,4,Other,4,1,41,3,2,Healthcare Representative,4,Married,6465.0,19121.0,2,1,13,3,4,0,9,5,4,4,2,1,3
30,0,Travel_Rarely,165.35000000000002,Research & Development,9,2,Medical,4,1,83,2,1,Laboratory Technician,3,Single,2206.0,16117.0,1,0,13,3,1,0,10,5,3,10,0,1,8
39,1,Travel_Rarely,895.0,Sales,5,3,Technical Degree,4,1,56,3,2,Sales Representative,4,Married,2097.9,3384.55,3,0,14,3,3,1,19,5,4,1,0,0,0
24,1,Travel_Rarely,813.0,Research & Development,1,3,Medical,2,1,61,3,1,Research Scientist,4,Married,2293.0,3384.55,2,1,16,3,1,1,6,2,2,2,0,2,0
43,0,Travel_Rarely,1273.0,Research & Development,2,2,Medical,4,0,72,4,1,Research Scientist,3,Divorced,2645.0,21923.0,1,0,12,3,4,2,6,3,2,5,3,1,4
50,1,Travel_Rarely,869.0,Sales,3,2,Marketing,1,1,86,2,1,Sales Representative,3,Married,2683.0,3810.0,1,1,14,3,3,0,3,2,3,3,2,0,2
35,0,Travel_Rarely,890.0,Sales,2,3,Marketing,4,0,97,3,1,Sales Representative,4,Married,2097.9,9687.0,1,0,13,3,1,0,2,3,3,2,2,2,2
36,0,Travel_Rarely,852.0,Research & Development,5,4,Life Sciences,2,0,82,2,1,Research Scientist,1,Married,3419.0,13072.0,8,1,14,3,4,1,6,3,4,1,1,0,0
33,0,Travel_Frequently,1141.0,Sales,1,3,Life Sciences,3,0,42,4,2,Sales Executive,1,Married,5376.0,3384.55,2,0,19,3,1,2,10,3,3,5,3,1,3
35,0,Travel_Rarely,464.0,Research & Development,4,2,Other,3,1,75,3,1,Laboratory Technician,4,Divorced,2097.9,10910.0,1,0,12,3,3,1,1,3,3,1,0,0,0
27,0,Travel_Rarely,1240.0,Research & Development,2,4,Life Sciences,4,0,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715.0,1,0,13,3,4,1,1,5,3,1,0,0,0
26,1,Travel_Rarely,1357.0,Research & Development,25,3,Life Sciences,1,1,48,1,1,Laboratory Technician,3,Single,2293.0,10558.0,1,0,12,3,3,0,1,2,2,1,0,0,1
27,0,Travel_Frequently,994.0,Sales,8,3,Life Sciences,4,1,37,3,3,Sales Executive,3,Single,8726.0,3384.55,1,0,15,3,4,0,9,1,3,9,8,1,7
30,0,Travel_Frequently,721.0,Research & Development,1,2,Medical,3,0,58,3,2,Laboratory Technician,4,Single,4011.0,10781.0,1,0,22,4,4,0,12,2,3,12,8,3,7
41,1,Travel_Rarely,1360.0,Research & Development,12,3,Technical Degree,2,0,49,3,5,Research Director,3,Married,17821.349999999995,16280.0,1,0,12,3,4,0,23,1,3,20,11,9,8
34,0,Non-Travel,1065.0,Sales,23,4,Marketing,2,1,72,3,2,Sales Executive,3,Single,4568.0,10034.0,0,0,20,4,3,0,10,2,3,9,5,8,7
37,0,Travel_Rarely,408.0,Research & Development,19,2,Life Sciences,2,1,73,3,1,Research Scientist,2,Married,3022.0,10227.0,4,0,21,4,1,0,8,1,3,1,0,0,0
46,0,Travel_Frequently,1211.0,Sales,5,4,Marketing,1,1,97,3,2,Sales Executive,4,Single,5772.0,20445.0,4,1,21,4,3,0,14,4,3,9,6,0,8
35,0,Travel_Rarely,1229.0,Research & Development,8,1,Life Sciences,4,1,36,4,1,Laboratory Technician,4,Married,2269.0,4892.0,1,0,19,3,4,0,1,2,3,1,0,0,1
48,1,Travel_Rarely,626.0,Research & Development,1,2,Life Sciences,1,1,97,2,3,Laboratory Technician,3,Single,5381.0,19294.0,8,1,13,3,4,0,23,2,3,1,0,0,0
28,1,Travel_Rarely,1424.1,Research & Development,5,4,Technical Degree,3,1,50,3,1,Laboratory Technician,3,Single,3441.0,11179.0,1,1,13,3,3,0,2,3,2,2,2,2,2
44,0,Travel_Rarely,1424.1,Sales,1,5,Marketing,2,0,75,3,2,Sales Executive,1,Divorced,5454.0,4009.0,5,1,21,4,3,1,9,2,2,4,3,1,3
35,0,Non-Travel,1097.0,Research & Development,11,2,Medical,3,1,79,2,3,Healthcare Representative,1,Married,9884.0,8302.0,2,1,13,3,3,1,10,3,3,4,0,2,3
26,0,Travel_Rarely,1424.1,Sales,23,3,Marketing,3,0,47,2,2,Sales Executive,4,Married,4157.0,21436.0,7,1,19,3,3,1,5,2,2,2,2,0,0
33,0,Travel_Frequently,515.0,Research & Development,1,2,Life Sciences,1,0,97,3,3,Research Director,4,Single,13458.0,15146.0,1,1,12,3,3,0,15,1,3,15,11,8,10
35,0,Travel_Frequently,853.0,Sales,18,5,Life Sciences,2,1,71,3,3,Sales Executive,1,Married,9069.0,11031.0,1,0,22,4,4,1,9,3,2,9,8,1,8
35,0,Travel_Rarely,1142.0,Research & Development,23,4,Medical,3,0,33,3,1,Laboratory Technician,1,Married,4014.0,16002.0,3,1,15,3,3,1,4,3,3,2,2,2,2
31,0,Travel_Rarely,655.0,Research & Development,7,4,Life Sciences,4,1,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528.0,3,0,22,4,4,1,10,3,2,7,7,1,7
37,0,Travel_Rarely,1115.0,Research & Development,1,4,Life Sciences,1,1,51,2,2,Manufacturing Director,3,Divorced,5993.0,3384.55,1,0,18,3,3,1,7,2,4,7,5,0,7
32,0,Travel_Rarely,427.0,Research & Development,1,3,Medical,1,1,33,3,2,Manufacturing Director,4,Married,6162.0,10877.0,1,1,22,4,2,1,9,3,3,9,8,7,8
38,0,Travel_Frequently,653.0,Research & Development,26,5,Life Sciences,4,0,50,3,2,Laboratory Technician,4,Single,2406.0,5456.0,1,0,11,3,4,0,10,2,3,10,3,9,9
50,0,Travel_Rarely,989.0,Research & Development,7,2,Medical,2,0,43,2,5,Research Director,3,Divorced,17821.349999999995,16701.0,5,1,12,3,4,1,28,2,2,20,3,9,8
54,0,Travel_Rarely,1424.1,Sales,25,3,Life Sciences,1,0,97,3,3,Sales Executive,1,Single,7637.0,3384.55,7,0,11,3,4,0,28,3,2,20,11,7,9
36,0,Travel_Rarely,1223.0,Research & Development,8,3,Technical Degree,3,0,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202.0,1,0,13,3,2,3,17,2,3,17,11,9,8
54,0,Travel_Rarely,836.0,Research & Development,8,3,Medical,4,0,33,3,4,Manager,3,Divorced,14756.0,19730.0,2,1,14,3,3,3,21,2,3,5,0,0,2
36,0,Travel_Frequently,1195.0,Research & Development,11,3,Life Sciences,2,1,95,2,2,Manufacturing Director,2,Single,6499.0,22656.0,1,0,13,3,3,0,6,3,3,6,5,0,3
45,0,Travel_Rarely,1339.0,Research & Development,7,3,Life Sciences,2,1,59,3,3,Research Scientist,1,Divorced,9724.0,18787.0,2,0,17,3,3,1,25,2,3,1,0,0,0
35,0,Travel_Frequently,664.0,Research & Development,1,3,Medical,2,1,79,3,1,Research Scientist,1,Married,2194.0,5868.0,4,0,13,3,4,1,5,2,2,3,2,1,2
36,1,Travel_Rarely,318.0,Research & Development,9,3,Medical,4,1,79,2,1,Research Scientist,3,Married,3388.0,21777.0,0,1,17,3,1,1,2,1,2,1,0,0,0
54,0,Travel_Frequently,1225.0,Sales,1,1,Life Sciences,1,0,57,2,2,Sales Executive,3,Single,5473.0,24668.0,7,0,11,3,4,0,20,2,2,4,3,1,3
29,0,Travel_Rarely,1328.0,Research & Development,2,3,Life Sciences,3,1,76,3,1,Research Scientist,2,Married,2703.0,4956.0,0,0,22,4,4,1,6,3,3,5,4,0,4
31,0,Travel_Rarely,1082.0,Research & Development,1,4,Medical,3,1,87,3,1,Research Scientist,2,Single,2501.0,18775.0,1,0,17,3,2,0,1,4,3,1,1,1,0
32,0,Travel_Rarely,548.0,Research & Development,1,3,Life Sciences,2,1,66,3,2,Research Scientist,2,Married,6220.0,7346.0,1,0,17,3,2,2,10,3,3,10,4,0,9
36,0,Travel_Rarely,165.35000000000002,Research & Development,6,3,Life Sciences,2,0,55,4,1,Laboratory Technician,4,Married,3038.0,22002.0,3,0,12,3,2,0,5,3,3,1,0,0,0
31,0,Travel_Rarely,746.0,Research & Development,8,4,Life Sciences,3,0,61,3,2,Manufacturing Director,4,Single,4424.0,20682.0,1,0,22,4,4,0,11,2,3,11,7,1,8
35,0,Travel_Rarely,776.0,Sales,1,4,Marketing,3,1,33,2,2,Sales Executive,1,Single,4312.0,23016.0,0,0,14,3,2,0,16,2,3,15,11,2,8
45,0,Travel_Rarely,193.0,Research & Development,6,4,Other,4,1,52,3,3,Research Director,1,Married,13245.0,15067.0,4,1,14,3,2,0,17,3,4,1,0,0,0
37,0,Travel_Rarely,397.0,Research & Development,7,4,Medical,1,1,33,3,3,Research Director,3,Single,13664.0,25258.0,4,0,13,3,1,0,16,3,4,5,2,0,2
46,0,Travel_Rarely,945.0,Human Resources,5,2,Medical,2,1,80,3,2,Human Resources,2,Divorced,5021.0,10425.0,8,1,22,4,4,1,16,2,3,4,2,0,2
30,0,Travel_Rarely,852.0,Research & Development,1,1,Life Sciences,4,1,55,2,2,Laboratory Technician,4,Married,5126.0,15998.0,1,1,12,3,3,2,10,1,2,10,8,3,0
35,0,Travel_Rarely,1214.0,Research & Development,1,3,Medical,2,1,33,2,1,Research Scientist,3,Single,2859.0,25431.899999999998,1,0,18,3,1,0,6,3,3,6,4,0,4
54,0,Travel_Rarely,165.35000000000002,Sales,1,2,Life Sciences,1,1,70,3,3,Sales Executive,4,Married,10239.0,18092.0,3,0,14,3,4,1,24,4,3,1,0,1,0
38,0,Non-Travel,573.0,Research & Development,6,3,Medical,2,0,79,1,2,Research Scientist,4,Divorced,5329.0,15717.0,7,1,12,3,4,3,17,3,3,13,11,1,9
34,0,Travel_Rarely,1153.0,Research & Development,1,2,Medical,1,1,94,3,2,Manufacturing Director,2,Married,4325.0,17736.0,1,0,15,3,3,0,5,2,3,5,2,1,3
54,0,Travel_Rarely,1400.0,Research & Development,7,3,Life Sciences,4,1,49,1,3,Manufacturing Director,4,Single,7260.0,21698.0,4,0,11,3,1,0,28,3,2,6,4,0,2
24,0,Travel_Rarely,541.0,Sales,2,1,Technical Degree,3,1,62,3,1,Sales Representative,1,Divorced,2322.0,9518.0,3,0,13,3,3,1,3,3,3,1,0,0,0
51,0,Travel_Rarely,432.0,Research & Development,9,4,Life Sciences,4,1,96,3,1,Laboratory Technician,4,Married,2097.9,18725.0,3,0,22,4,2,2,10,4,3,4,2,0,3
30,0,Travel_Rarely,288.0,Research & Development,2,3,Life Sciences,3,1,97,2,2,Healthcare Representative,4,Married,4152.0,15830.0,1,0,19,3,1,3,11,3,3,11,10,9,8
46,1,Travel_Rarely,669.0,Sales,9,2,Medical,3,1,64,2,3,Sales Executive,4,Single,9619.0,13596.0,1,0,16,3,4,0,9,3,3,9,8,4,7
40,0,Travel_Frequently,530.0,Research & Development,1,4,Life Sciences,3,1,78,2,4,Healthcare Representative,2,Married,13503.0,14115.0,1,0,22,4,4,1,22,3,2,20,3,9,10
51,0,Travel_Rarely,632.0,Sales,21,4,Marketing,3,1,71,3,2,Sales Executive,4,Single,5441.0,8423.0,0,1,22,4,4,0,11,2,1,10,7,1,0
30,0,Travel_Rarely,1334.0,Sales,4,2,Medical,3,0,63,2,2,Sales Executive,2,Divorced,5209.0,19760.0,1,1,12,3,2,3,11,4,2,11,8,2,7
46,0,Travel_Frequently,638.0,Research & Development,1,3,Medical,3,1,40,2,3,Healthcare Representative,1,Married,10673.0,3384.55,2,1,13,3,3,1,21,5,2,10,9,9,5
32,0,Travel_Rarely,1093.0,Sales,6,4,Medical,2,1,87,3,2,Sales Executive,3,Single,5010.0,24301.0,1,0,16,3,1,0,12,1,3,11,8,5,7
54,0,Travel_Rarely,1217.0,Research & Development,2,4,Technical Degree,1,0,60,3,3,Research Director,3,Married,13549.0,24001.0,8,0,12,3,1,1,16,5,1,4,3,0,3
24,0,Travel_Rarely,1353.0,Sales,3,2,Other,1,0,33,3,2,Sales Executive,3,Married,4999.0,17519.0,0,0,21,4,1,1,4,2,2,3,2,0,2
28,0,Non-Travel,165.35000000000002,Sales,4,3,Medical,2,1,43,3,2,Sales Executive,3,Married,4221.0,8863.0,1,0,15,3,2,0,5,3,4,5,4,0,4
54,0,Travel_Rarely,682.0,Sales,10,4,Medical,4,1,37,3,4,Sales Executive,3,Single,13872.0,24409.0,0,0,13,3,3,0,28,1,2,20,10,1,8
44,0,Non-Travel,489.0,Research & Development,23,3,Medical,2,1,67,3,2,Laboratory Technician,2,Married,2097.9,25043.0,4,0,12,3,3,1,17,3,4,3,2,1,2
37,1,Travel_Rarely,807.0,Human Resources,6,4,Human Resources,3,1,63,3,1,Human Resources,1,Divorced,2097.9,23648.0,4,1,22,4,4,0,7,3,3,3,2,0,2
32,0,Travel_Rarely,827.0,Research & Development,1,1,Life Sciences,4,1,71,3,1,Research Scientist,1,Single,2956.0,15178.0,1,0,13,3,4,0,1,2,3,1,0,0,0
24,1,Travel_Frequently,871.0,Research & Development,6,3,Life Sciences,4,0,66,2,1,Laboratory Technician,4,Single,2926.0,19783.0,1,1,18,3,2,0,1,5,3,1,0,1,0
34,0,Travel_Rarely,665.0,Research & Development,6,4,Other,1,0,41,3,2,Research Scientist,3,Single,4809.0,12482.0,1,0,14,3,3,0,16,3,3,16,11,2,10
37,0,Non-Travel,1040.0,Research & Development,2,2,Life Sciences,3,1,97,2,2,Healthcare Representative,4,Divorced,5163.0,15850.0,5,0,14,3,4,1,17,2,4,1,0,0,0
54,0,Non-Travel,1420.0,Human Resources,2,4,Human Resources,3,0,33,2,5,Manager,4,Married,17821.349999999995,21922.0,8,0,21,4,4,1,28,3,3,3,2,2,2
50,0,Travel_Frequently,1115.0,Research & Development,1,3,Life Sciences,1,0,73,3,5,Research Director,2,Married,17821.349999999995,9755.0,3,1,19,3,1,0,28,1,2,8,3,0,7
25,1,Travel_Rarely,240.0,Sales,5,3,Marketing,3,1,46,2,2,Sales Executive,3,Single,5744.0,25431.899999999998,1,1,11,3,4,0,6,1,3,6,4,0,3
25,0,Travel_Rarely,1280.0,Research & Development,7,1,Medical,4,1,64,2,1,Research Scientist,4,Married,2889.0,25431.899999999998,1,0,11,3,3,2,2,2,3,2,2,2,1
24,0,Travel_Rarely,534.0,Research & Development,15,3,Medical,2,0,59,3,1,Laboratory Technician,4,Single,2871.0,23785.0,1,0,15,3,3,0,1,5,3,1,0,0,0
51,0,Travel_Frequently,1424.1,Research & Development,1,4,Medical,1,0,33,2,3,Healthcare Representative,1,Single,7484.0,25431.899999999998,3,0,20,4,3,0,23,1,2,13,11,9,8
34,1,Travel_Frequently,658.0,Research & Development,7,3,Life Sciences,1,1,66,1,2,Laboratory Technician,3,Single,6074.0,22887.0,1,1,22,4,4,0,9,3,3,9,7,0,6
54,0,Non-Travel,165.35000000000002,Human Resources,26,3,Human Resources,4,0,33,4,4,Manager,4,Single,17328.0,13871.0,2,1,12,3,3,0,23,3,3,5,3,4,4
24,0,Travel_Rarely,1127.0,Research & Development,18,1,Life Sciences,2,1,52,3,1,Laboratory Technician,3,Married,2774.0,13257.0,0,0,12,3,3,1,6,2,3,5,3,1,2
34,0,Travel_Rarely,1031.0,Research & Development,6,4,Life Sciences,3,0,45,2,2,Research Scientist,2,Divorced,4505.0,15000.0,6,0,15,3,3,1,12,3,3,1,0,0,0
37,0,Travel_Rarely,1189.0,Sales,3,3,Life Sciences,3,1,87,3,3,Sales Executive,4,Single,7428.0,14506.0,2,0,12,3,1,0,12,3,3,5,3,1,3
34,0,Travel_Rarely,1354.0,Research & Development,5,3,Medical,3,0,45,2,3,Manager,1,Single,11631.0,5615.0,2,0,12,3,4,0,14,5,3,11,10,5,8
36,0,Travel_Frequently,1424.1,Sales,11,2,Technical Degree,2,0,92,3,3,Sales Executive,4,Married,9738.0,22952.0,0,0,14,3,3,1,10,5,3,9,7,2,8
36,0,Travel_Rarely,922.0,Research & Development,3,2,Life Sciences,1,0,39,3,1,Laboratory Technician,4,Divorced,2835.0,3384.55,5,0,22,4,1,1,7,2,3,1,0,0,0
43,0,Travel_Frequently,394.0,Sales,26,2,Life Sciences,3,1,92,3,4,Manager,4,Married,16959.0,19494.0,1,1,12,3,4,2,25,3,4,20,11,4,10
30,0,Travel_Frequently,1312.0,Research & Development,23,3,Life Sciences,1,1,96,1,1,Research Scientist,3,Divorced,2613.0,22310.0,1,0,22,4,3,3,10,2,2,10,7,0,9
33,0,Non-Travel,750.0,Sales,22,2,Marketing,3,1,95,3,2,Sales Executive,2,Married,6146.0,15480.0,0,0,13,3,1,1,8,2,4,7,7,0,7
54,1,Travel_Rarely,441.0,Research & Development,14,4,Life Sciences,2,0,72,3,1,Research Scientist,2,Married,4963.0,4510.0,8,1,18,3,1,3,7,2,3,5,4,4,3
51,0,Travel_Rarely,684.0,Research & Development,6,3,Life Sciences,1,1,51,3,5,Research Director,3,Single,17821.349999999995,6462.0,7,0,13,3,3,0,23,5,3,20,11,9,10
31,1,Travel_Rarely,249.0,Sales,6,4,Life Sciences,2,1,76,1,2,Sales Executive,3,Married,6172.0,20739.0,4,1,18,3,2,0,12,3,2,7,7,7,7
26,0,Travel_Rarely,841.0,Research & Development,6,3,Other,3,0,46,2,1,Research Scientist,2,Married,2368.0,23300.0,1,0,19,3,3,0,5,3,2,5,4,4,3
54,1,Travel_Rarely,165.35000000000002,Research & Development,23,4,Medical,4,0,94,3,3,Healthcare Representative,4,Married,10312.0,3465.0,1,0,12,3,4,1,28,3,2,20,10,9,6
24,1,Travel_Rarely,528.0,Sales,22,1,Marketing,4,1,50,3,1,Sales Representative,3,Single,2097.9,25431.899999999998,1,1,19,3,4,0,1,2,2,1,0,0,0
24,0,Travel_Rarely,594.0,Research & Development,2,1,Technical Degree,3,1,97,3,1,Laboratory Technician,4,Married,2523.0,19299.0,0,0,14,3,3,1,3,2,3,2,1,2,1
49,0,Travel_Rarely,470.0,Research & Development,20,4,Medical,3,0,96,3,2,Manufacturing Director,1,Married,6567.0,5549.0,1,0,14,3,3,0,16,2,2,15,11,5,10
43,0,Travel_Frequently,957.0,Research & Development,26,3,Medical,2,0,72,4,1,Research Scientist,3,Single,4739.0,16090.0,4,0,12,3,4,0,18,2,3,3,2,1,2
50,0,Travel_Frequently,809.0,Sales,12,3,Marketing,3,0,77,3,3,Sales Executive,4,Single,9208.0,6645.0,4,0,11,3,4,0,16,3,3,2,2,2,1
31,1,Travel_Rarely,542.0,Sales,20,3,Life Sciences,2,0,71,1,2,Sales Executive,3,Married,4559.0,24788.0,3,1,11,3,3,1,4,2,3,2,2,2,2
41,0,Travel_Rarely,802.0,Sales,9,1,Life Sciences,3,1,96,3,3,Sales Executive,3,Divorced,8189.0,21196.0,3,1,13,3,3,1,12,2,3,9,7,0,7
26,0,Travel_Rarely,1355.0,Human Resources,25,1,Life Sciences,3,0,61,3,1,Human Resources,3,Married,2942.0,8916.0,1,0,22,4,4,1,8,3,3,8,7,5,7
36,0,Travel_Rarely,216.0,Research & Development,6,2,Medical,2,1,84,3,2,Manufacturing Director,2,Divorced,4941.0,3384.55,6,0,20,4,4,2,7,1,3,3,2,0,1
51,1,Travel_Frequently,1150.0,Research & Development,8,4,Life Sciences,1,1,53,1,3,Manufacturing Director,4,Single,10650.0,25150.0,2,0,15,3,4,0,18,2,3,4,2,0,3
39,0,Travel_Rarely,1329.0,Sales,4,4,Life Sciences,4,0,47,2,2,Sales Executive,3,Married,5902.0,14590.0,4,0,14,3,3,1,17,1,4,15,11,5,9
25,0,Travel_Rarely,959.0,Sales,26,3,Life Sciences,1,1,41,2,2,Sales Executive,3,Married,8639.0,24835.0,2,0,18,3,4,0,6,3,3,2,2,2,2
30,0,Travel_Rarely,1240.0,Human Resources,9,3,Human Resources,3,1,48,3,2,Human Resources,4,Married,6347.0,13982.0,0,1,19,3,4,0,12,2,1,11,9,4,7
32,1,Travel_Rarely,1033.0,Research & Development,9,3,Medical,1,0,41,3,1,Laboratory Technician,1,Single,4200.0,10224.0,7,0,22,4,1,0,10,2,4,5,4,0,4
45,0,Travel_Rarely,1316.0,Research & Development,26,3,Medical,3,1,83,3,1,Research Scientist,4,Single,3452.0,9752.0,5,0,13,3,2,0,9,2,2,6,5,0,3
38,0,Travel_Rarely,364.0,Research & Development,3,5,Technical Degree,4,0,33,3,2,Research Scientist,3,Single,4317.0,3384.55,3,1,20,4,2,0,19,2,3,3,2,2,2
30,0,Travel_Rarely,438.0,Research & Development,18,3,Life Sciences,1,0,75,3,1,Research Scientist,3,Single,2632.0,23910.0,1,0,14,3,3,0,5,4,2,5,4,0,4
32,0,Travel_Frequently,689.0,Sales,9,2,Medical,4,1,35,1,2,Sales Executive,4,Divorced,4668.0,22812.0,0,0,17,3,4,3,9,2,4,8,7,0,7
30,0,Travel_Rarely,201.0,Research & Development,5,3,Technical Degree,4,0,84,3,1,Research Scientist,1,Divorced,3204.0,10415.0,5,0,14,3,4,1,8,3,3,3,2,2,2
30,0,Travel_Rarely,1424.1,Research & Development,2,1,Medical,2,1,35,2,1,Laboratory Technician,4,Single,2720.0,11162.0,0,0,13,3,4,0,6,3,3,5,3,1,2
